Path,Change Type,Old Value,New Value
Combinations -> xs:schema -> xs:element -> xs:complexType -> xs:choice -> xs:element'][0]['xs:complexType -> xs:sequence -> xs:element'][0,Type Changed,"{
  ""@name"": ""RDQ_Product"",
  ""@msdata:Caption"": ""Product"",
  ""@type"": ""xs:string"",
  ""@minOccurs"": ""0""
}",
Combinations -> xs:schema -> xs:element -> xs:complexType -> xs:choice -> xs:element'][0]['xs:complexType -> xs:sequence -> xs:element'][1,Type Changed,"{
  ""@name"": ""RDQ_ClientType"",
  ""@msdata:Caption"": ""Client Type"",
  ""@type"": ""xs:string"",
  ""@minOccurs"": ""0""
}",
Combinations -> xs:schema -> xs:element -> xs:complexType -> xs:choice -> xs:element'][0]['xs:complexType -> xs:sequence -> xs:element'][2,Type Changed,"{
  ""@name"": ""CombinationID"",
  ""@type"": ""xs:string"",
  ""@minOccurs"": ""0""
}",
Combinations -> xs:schema -> xs:element -> xs:complexType -> xs:choice -> xs:element'][1]['xs:complexType -> xs:sequence -> xs:element'][0,Type Changed,"{
  ""@name"": ""DecisionID"",
  ""@type"": ""xs:string"",
  ""@minOccurs"": ""0""
}",
Combinations -> xs:schema -> xs:element -> xs:complexType -> xs:choice -> xs:element'][1]['xs:complexType -> xs:sequence -> xs:element'][1,Type Changed,"{
  ""@name"": ""CombinationID"",
  ""@type"": ""xs:string"",
  ""@minOccurs"": ""0""
}",
Combinations -> xs:schema -> xs:element -> xs:complexType -> xs:choice -> xs:element'][1]['xs:complexType -> xs:sequence -> xs:element'][2,Type Changed,"{
  ""@name"": ""Key"",
  ""@type"": ""xs:string"",
  ""@minOccurs"": ""0""
}",
Combinations -> xs:schema -> xs:element -> xs:complexType -> xs:choice -> xs:element'][1]['xs:complexType -> xs:sequence -> xs:element'][3,Type Changed,"{
  ""@name"": ""Question"",
  ""@msdata:Caption"": ""Parameter"",
  ""@type"": ""xs:string"",
  ""@minOccurs"": ""0""
}",
Combinations -> xs:schema -> xs:element -> xs:complexType -> xs:choice -> xs:element'][1]['xs:complexType -> xs:sequence -> xs:element'][4,Type Changed,"{
  ""@name"": ""Answer"",
  ""@type"": ""xs:string"",
  ""@minOccurs"": ""0""
}",
Combinations -> xs:schema -> xs:element -> xs:complexType -> xs:choice -> xs:element'][1]['xs:complexType -> xs:sequence -> xs:element'][5,Type Changed,"{
  ""@name"": ""AnswerValueID"",
  ""@type"": ""xs:string"",
  ""@minOccurs"": ""0""
}",
Combinations -> xs:schema -> xs:element -> xs:unique -> xs:selector,Type Changed,"{
  ""@xpath"": "".//Combination""
}",
Combinations -> xs:schema -> xs:element -> xs:unique -> xs:field,Type Changed,"{
  ""@xpath"": ""CombinationID""
}",
Combinations -> xs:schema -> xs:element -> xs:keyref -> xs:selector,Type Changed,"{
  ""@xpath"": "".//Decision""
}",
Combinations -> xs:schema -> xs:element -> xs:keyref -> xs:field,Type Changed,"{
  ""@xpath"": ""CombinationID""
}",
Combinations -> Combination'][0,Type Changed,"{
  ""RDQ_Product"": ""52"",
  ""RDQ_ClientType"": ""2"",
  ""CombinationID"": ""1""
}",
Combinations -> Combination'][1,Type Changed,"{
  ""RDQ_Product"": ""52"",
  ""RDQ_ClientType"": ""1"",
  ""CombinationID"": ""2""
}",
Combinations -> Combination'][2,Type Changed,"{
  ""RDQ_Product"": ""53"",
  ""RDQ_ClientType"": ""2"",
  ""CombinationID"": ""3""
}",
Combinations -> Combination'][3,Type Changed,"{
  ""RDQ_Product"": ""53"",
  ""RDQ_ClientType"": ""1"",
  ""CombinationID"": ""4""
}",
Combinations -> Combination'][4,Type Changed,"{
  ""RDQ_Product"": ""54"",
  ""RDQ_ClientType"": ""2"",
  ""CombinationID"": ""5""
}",
Combinations -> Combination'][5,Type Changed,"{
  ""RDQ_Product"": ""54"",
  ""RDQ_ClientType"": ""1"",
  ""CombinationID"": ""6""
}",
Combinations -> Combination'][6,Type Changed,"{
  ""RDQ_Product"": ""56"",
  ""RDQ_ClientType"": ""2"",
  ""CombinationID"": ""7""
}",
Combinations -> Combination'][7,Type Changed,"{
  ""RDQ_Product"": ""56"",
  ""RDQ_ClientType"": ""1"",
  ""CombinationID"": ""8""
}",
Combinations -> Combination'][8,Type Changed,"{
  ""RDQ_Product"": ""57"",
  ""RDQ_ClientType"": ""2"",
  ""CombinationID"": ""9""
}",
Combinations -> Combination'][9,Type Changed,"{
  ""RDQ_Product"": ""57"",
  ""RDQ_ClientType"": ""1"",
  ""CombinationID"": ""10""
}",
Combinations -> Combination'][10,Type Changed,"{
  ""RDQ_Product"": ""51"",
  ""RDQ_ClientType"": ""2"",
  ""CombinationID"": ""11""
}",
Combinations -> Combination'][11,Type Changed,"{
  ""RDQ_Product"": ""51"",
  ""RDQ_ClientType"": ""1"",
  ""CombinationID"": ""12""
}",
Combinations -> Combination'][12,Type Changed,"{
  ""RDQ_Product"": ""55"",
  ""RDQ_ClientType"": ""2"",
  ""CombinationID"": ""13""
}",
Combinations -> Combination'][13,Type Changed,"{
  ""RDQ_Product"": ""55"",
  ""RDQ_ClientType"": ""1"",
  ""CombinationID"": ""14""
}",
Combinations -> Combination'][14,Type Changed,"{
  ""RDQ_Product"": ""102"",
  ""RDQ_ClientType"": ""2"",
  ""CombinationID"": ""15""
}",
Combinations -> Combination'][15,Type Changed,"{
  ""RDQ_Product"": ""102"",
  ""RDQ_ClientType"": ""1"",
  ""CombinationID"": ""16""
}",
Combinations -> Combination'][16,Type Changed,"{
  ""RDQ_Product"": ""115"",
  ""RDQ_ClientType"": ""2"",
  ""CombinationID"": ""17""
}",
Combinations -> Combination'][17,Type Changed,"{
  ""RDQ_Product"": ""115"",
  ""RDQ_ClientType"": ""1"",
  ""CombinationID"": ""18""
}",
Combinations -> Combination'][18,Type Changed,"{
  ""RDQ_Product"": ""116"",
  ""RDQ_ClientType"": ""2"",
  ""CombinationID"": ""19""
}",
Combinations -> Combination'][19,Type Changed,"{
  ""RDQ_Product"": ""116"",
  ""RDQ_ClientType"": ""1"",
  ""CombinationID"": ""20""
}",
Combinations -> Decision'][0,Type Changed,"{
  ""DecisionID"": ""1"",
  ""CombinationID"": ""1"",
  ""Key"": ""RDA_DocumentDefinition"",
  ""Question"": ""Document Definition"",
  ""Answer"": ""013 - Copie de CIN; 014 - Certificat de résidence - (jusqu'à 3 mois à compter de la date d'émission); 015 - Photo; 016 - Copie de RCS / NIF / Statistique; 017 - Photocopie certifiée du statut juridique; 018 - Lettre d'autorité des signataires; 030 - Account Opening – Company; 031 - General conditions"",
  ""AnswerValueID"": ""15#16#17#18#19#20#63#64""
}",
Combinations -> Decision'][1,Type Changed,"{
  ""DecisionID"": ""2"",
  ""CombinationID"": ""2"",
  ""Key"": ""RDA_DocumentDefinition"",
  ""Question"": ""Document Definition"",
  ""Answer"": ""013 - Copie de CIN; 014 - Certificat de résidence - (jusqu'à 3 mois à compter de la date d'émission); 015 - Photo; 029 - Account Opening – Person; 031 - General conditions"",
  ""AnswerValueID"": ""15#16#17#62#64""
}",
